pasos,ep_rew_mean
5278987,863.1
5285121,863.95
5290924,899.15
5296626,847.2
5302994,851.15
5309291,836.05
5314824,833.05
5321477,886.6
5327105,846.55
5333545,869.5
5338607,841.85
5344588,822.15
5350487,847.05
5356562,817.05
5362205,827.5
5368512,834.45
5374452,818.75
5379845,814.6
5385725,801.05
5391204,778.45
5397207,786.0
5402655,803.1
5408372,804.75
5414767,825.3
5420823,834.25
5427546,867.2
5433999,908.5
5440378,907.2
5446066,892.85
5452218,877.6
5458482,871.35
5463419,825.85
5469855,823.15
5476229,841.95
5481763,819.35
5488086,862.35
5493564,839.0
5499830,814.95
5505772,841.85
5511236,830.9
5517090,825.0
5522945,823.2
5529135,818.0
5534472,795.5
5540044,797.6
5546563,824.2
5553188,857.85
5558844,875.45
5565575,900.5
5571646,891.8
5578060,878.85
5583456,864.0
5589662,856.3
5595757,846.85
5601635,843.85
5606948,836.55
5612227,808.8
5618568,802.75
5623849,788.35
5629251,786.6
5635933,820.5
5641600,808.8
5647536,823.3
5653554,849.85
5659246,823.3
5665500,846.85
5671638,844.1
5677831,835.7
5683951,874.35
5689728,849.8
5695919,841.95
5701548,797.6
5707902,803.25
5712829,799.3
5719791,823.65
5725928,862.8
5731712,861.3
5738482,909.8
5744242,868.0
5749838,837.15
5755716,835.35
5761994,836.9
5767983,863.1
5774944,908.05
5780676,890.3
5786258,870.15
5792458,883.65
5798093,800.45
5804384,838.6
5810294,822.9
5816432,841.6
5823288,916.25
5829520,900.15
5835732,925.3
5841719,883.25
5847020,846.75
5852210,810.4
5858008,781.8
5864131,803.4
5870263,835.8
5876282,857.5
5881865,857.95
5888253,852.85
5893920,825.9
5900660,843.4
5906469,850.4
5911766,815.35
5918361,854.25
5924354,856.15
5930484,863.5
5936818,899.5
5942989,913.85
5949712,914.35
5955242,872.55
5962161,874.85
5967398,851.9
5972730,818.4
5978506,835.55
5984084,782.1
5990543,812.45
5996278,829.7
6002306,836.5
6008224,858.15
6014014,832.3
6020274,834.95
6026206,829.0
6032404,854.2
6038319,865.55
6044933,900.45
6051141,885.95
6056750,870.55
6063578,856.8
6068968,819.55
6074410,801.85
6081011,845.05
6087510,851.55
6094089,894.05
6100082,909.7
6105840,892.65
6112435,885.15
6118261,861.4
6124230,861.15
6129301,834.45
6135638,821.8
6142478,832.0
6148518,847.95
6155431,895.0
6161042,875.4
6167199,874.65
6173558,862.65
6179928,879.4
6185952,862.2
6191760,872.25
6198206,864.85
6204828,878.5
6210623,897.9
6216752,885.75
6222359,866.25
6228127,847.65
6233877,812.75
6239021,801.1
6244612,779.1
6251010,804.85
6257078,841.45
6263515,884.25
6270030,910.7
6275483,872.2
6281380,851.15
6288501,859.75
6294947,862.55
6301720,917.5
6307845,925.75
6313639,904.95
6319499,872.9
6325016,840.1
6330378,819.2
6336707,821.1
6342118,835.0
6349251,877.95
6355087,882.25
6360213,860.65
6366088,860.7
6372192,826.85
6378798,864.7
6384526,867.75
6390814,879.8
6397330,877.85
6402444,843.55
6409284,867.75
6414553,828.3
6420557,844.8
6427259,853.35
6433162,848.4
6439468,869.35
6445464,870.25
6451111,861.15
6458054,893.5
6464156,912.8
6470803,919.75
6477095,923.8
6483391,910.25
6490421,926.95
6496669,924.25
6502943,927.7
6508883,911.2
6514803,885.3
6520532,847.3
6526671,856.9
6533618,886.35
6539470,881.0
6545132,893.85
6551887,886.45
6557976,861.5
6563881,863.55
6569708,860.4
6576459,859.25
6581963,857.25
